Sample_name,Date,Temperature_start,Temperature_end,Salinity_start,Salinity_end,Chla_repA,Chla_repB,Chla_repC,Silicate_repA,Silicate_repB,Phosphate_repA,Phosphate_repB,Nitrate_repA,Nitrate_repB,Viral_abundance_repA,Viral_abundance_repB,Bacterial_abundance_repA,Bacterial_abundance_repB,VC,Location,Mid
Jericho_Summer,22/06/2010,18.2,18.2,11.6,11.6,0.526085648,1.26609824,0.772756512,6.202,6.224,0.024,0.087,0.824,1.885,73500000,11400000,5280000,1740000,VC1098,Jericho,22
SOG_2,29/07/2010,13.8,17.7,26.4,27.7,2.960660267,3.500288,,24.284,26.906,0.565,0.612,3.889,3.68,53600000,53600000,4560000,4560000,VC1118,SOG,23
SOG_1,29/07/2010,11.9,16.5,25.8,25.8,1.341777067,0.91007488,,33.228,28.522,0.98,0.816,7.775,6.978,60000000,60000000,5000000,5000000,VC1117,SOG,24
Jericho_Fall,12/10/2010,12.7,12.7,22.7,22.7,0.154987888,0.126609824,0.203012304,23.142,33.623,0.861,1.274,14.541,14.592,35500000,42200000,2670000,2610000,VC1160,Jericho,25
SOG_4,29/07/2010,10.8,14.7,26.9,28.7,2.041834667,2.5377088,,37.603,38.052,1.293,1.375,12.48,12.27,25500000,25500000,2440000,2440000,VC1120,SOG,26
